conflict,title,source,url,publish_date,population
Ukraine,Former U.S. ambassador to Ukraine reflects on 4th anniversary of war with Russia,npr.org,https://www.npr.org/2026/02/24/nx-s1-5724010/former-u-s-ambassador-to-ukraine-reflects-on-4th-anniversary-of-war-with-russia,2026-02-24,white
Ukraine,War in Ukraine enters year 5,cbsnews.com,https://www.cbsnews.com/chicago/video/war-in-ukraine-enters-year-5/,2026-02-24,white
Ukraine,UN chief calls Ukraine war 'a stain on our collective conscience',reuters.com,https://www.reuters.com/world/europe/un-chief-calls-ukraine-war-a-stain-our-collective-conscience-2026-02-24/,2026-02-24,white
Ukraine,"Life in Ukraine, after 4 years of war",npr.org,https://www.npr.org/2026/02/24/nx-s1-5725295/life-in-ukraine-after-4-years-of-war,2026-02-24,white
Ukraine,Ukraine Marks Fourth Year of War With Russia With Moment of Silence,nytimes.com,https://www.nytimes.com/video/world/europe/100000010733027/ukraine-russia-war-four-years.html,2026-02-24,white
Ukraine,"Anniversary of war in Ukraine is a recognition of resilience, says Ukrainian journalist",cnn.com,https://www.cnn.com/2026/02/24/tv/video/amanpour-gumenyuk,2026-02-24,white
Ukraine,"UNICEF: 3,200 children killed or injured in Ukraine since Feb. 2022",cnn.com,https://www.cnn.com/2026/02/24/world/video/ukraine-war-unicef-mammadzade-intv-ctw-022410aseg2-cnni-world-fast,2026-02-24,white
Ukraine,Ukraine marks four years since Russia’s full-scale invasion,cnn.com,https://www.cnn.com/2026/02/24/world/video/ukraine-war-anniversary-oleksiy-sorokin-intv-022411aseg1-cnni-world-fast,2026-02-24,white
Ukraine,Ukraine remembers its dead as war enters a fifth year,bbc.com,https://www.bbc.com/news/articles/clyg7r3nd3ko?at_medium=RSS&at_campaign=rss,2026-02-24,white
Ukraine,Zelenskyy marks four years since Russia’s invasion of Ukraine,nbcnews.com,https://www.nbcnews.com/video/zelenskyy-marks-four-years-since-russia-s-invasion-of-ukraine-258185797832,2026-02-24,white
Ukraine,UN says Ukraine cannot be divided on invasion anniversary,reuters.com,https://www.reuters.com/world/states-condemn-russian-violations-un-meeting-ukraine-2026-02-24/,2026-02-24,white
Ukraine,Leaders of G7 reaffirm unwavering support for Ukraine on war anniversary,reuters.com,https://www.reuters.com/world/europe/leaders-g7-reaffirm-unwavering-support-ukraine-war-anniversary-2026-02-24/,2026-02-24,white
Palestine,Premature babies who escaped war in Gaza finally reunited with families after more than 2 years,cbsnews.com,https://www.cbsnews.com/news/gaza-premature-babies-al-shifa-hospital-reunited-families-after-2-years/,2026-03-31,poc
Palestine,UNRWA head seeks investigation into killing of staff in Gaza war,reuters.com,https://www.reuters.com/world/middle-east/unrwa-head-seeks-investigation-into-killing-staff-gaza-war-2026-03-31/,2026-03-31,poc
Palestine,A provocative new film takes a hard look at Israeli life during the Gaza war,npr.org,https://www.npr.org/2026/03/27/nx-s1-5716956/a-provocative-new-film-takes-a-hard-look-at-israeli-life-during-the-gaza-war,2026-03-27,poc
Palestine,Israeli settlers smash cars and set fires in the West Bank as 4 Palestinians are killed in Gaza,nbcnews.com,https://www.nbcnews.com/world/middle-east/israeli-settlers-smash-cars-set-fires-west-bank-4-palestinians-killed-rcna264692,2026-03-23,poc
Palestine,"Analysts say Gaza 'civilian' deaths include Hamas, other terror members working as medics, media workers",foxnews.com,https://www.foxnews.com/world/analysts-say-gaza-civilian-deaths-include-hamas-other-terror-members-working-medics-media-workers,2026-03-20,poc
Palestine,Israeli strike kills three people in Gaza as Iran war strains truce,reuters.com,https://www.reuters.com/world/middle-east/israeli-strike-kills-three-people-gaza-iran-war-strains-truce-2026-03-17/,2026-03-17,poc
Palestine,Hamas reasserts control in Gaza as Iran war dominates regional attention and global focus,foxnews.com,https://www.foxnews.com/world/hamas-reasserts-control-gaza-iran-war-dominates-regional-attention-global-focus,2026-03-16,poc
Palestine,Exclusive: Hamas holds talks with Trump-led board as Iran war strains Gaza plan,reuters.com,https://www.reuters.com/world/middle-east/hamas-holds-talks-with-trump-led-board-iran-war-strains-gaza-plan-2026-03-16/,2026-03-16,poc
Palestine,"Javier Bardem sports anti-war pin, says ‘free Palestine’ at Oscars",thehill.com,https://thehill.com/blogs/in-the-know/5785620-javier-bardem-oscar-anti-war/,2026-03-15,poc
Palestine,"Israeli strike kills 4 in Gaza, including 2 children and a pregnant woman, hospital officials say",nbcnews.com,https://www.nbcnews.com/world/gaza/hospital-officials-israeli-strike-killed-gaza-children-pregnant-woman-rcna263539,2026-03-15,poc
Palestine,"Hospital officials say Israeli strikes killed 12 in Gaza, including 2 children and a pregnant woman",apnews.com,https://apnews.com/article/gaza-israel-war-hamas-6b085df37d118091c442e29e481f0d91,2026-03-15,poc
Palestine,"Eight killed in an airstrike targeting police vehicle in Gaza, medics say",reuters.com,https://www.reuters.com/world/middle-east/eight-killed-an-airstrike-targeting-police-vehicle-gaza-medics-say-2026-03-15/,2026-03-15,poc
Palestine,Gaza suffers food shortages as Iran war escalates,nbcnews.com,https://www.nbcnews.com/video/shorts/gaza-suffers-food-shortages-as-iran-war-escalates-259251781671,2026-03-13,poc
Palestine,Israeli strike kills three in Gaza as regional offensives escalate,reuters.com,https://www.reuters.com/world/middle-east/israeli-strike-kills-three-gaza-regional-offensives-escalate-2026-03-13/,2026-03-13,poc
Palestine,"In Gaza, Palestinians feel forgotten as Iran war captures attention and ceasefire progress slows",nbcnews.com,https://www.nbcnews.com/world/middle-east/gaza-palestinians-iran-war-trump-ceasefire-israel-hamas-rcna262959,2026-03-13,poc
Palestine,Trump's peace plan for Gaza stalls as Iran war grinds on,npr.org,https://www.npr.org/2026/03/12/nx-s1-5745145/trumps-peace-plan-for-gaza-stalls-as-iran-war-grinds-on,2026-03-12,poc
Palestine,"While the war in Iran gets attention, what’s happening in Gaza?",npr.org,https://www.npr.org/2026/03/12/nx-s1-5746111/while-the-war-in-iran-gets-attention-whats-happening-in-gaza,2026-03-12,poc
Palestine,"Exclusive: Trump's Gaza plan on hold as Iran war pauses disarmament talks, sources say",reuters.com,https://www.reuters.com/world/middle-east/trumps-gaza-plan-hold-iran-war-pauses-disarmament-talks-sources-say-2026-03-09/,2026-03-09,poc
Palestine,"Israeli strike kills two Palestinians in a car in Gaza, medics say",reuters.com,https://www.reuters.com/world/middle-east/israeli-strike-kills-two-palestinians-car-gaza-medics-say-2026-03-08/,2026-03-08,poc
Palestine,Gaza fuel running short after Israel closes borders amid Iran war,reuters.com,https://www.reuters.com/world/middle-east/gaza-fuel-running-short-after-israel-closes-borders-amid-iran-war-2026-03-02/,2026-03-02,poc
Palestine,Ramadan brings a season of grief after an Israeli strike wiped out most of a Gaza family,apnews.com,https://apnews.com/article/gaza-war-israel-hamas-ramadan-16b327f3300eccb218dd6340bbb9410a,2026-02-28,poc
Palestine,Gaza factory protester says attack was 'lawful',bbc.com,https://www.bbc.com/news/articles/c78x1n61xw6o,2026-02-27,poc
Palestine,"Israeli strike kills 2 Palestinians in Gaza, health officials say, the latest deaths as truce stalls",apnews.com,https://apnews.com/article/israel-gaza-hamas-war-netanyahu-1bb1a68df1a35b2936a91ce0b5505d65,2026-02-26,poc
Palestine,Football returns to Gaza after two-year pause caused by war,cnn.com,https://www.cnn.com/2026/02/20/world/video/gaza-football-gaza-hope-mcfarlane-pkg-02201aseg1-cnni-world-fast,2026-02-20,poc
Palestine,"War-hammered Gaza needs basics like homes, roads and power. FIFA is offering a $50M soccer stadium",apnews.com,https://apnews.com/article/gaza-trump-fifa-board-of-peace-803fb5c148757873065cc86393175773,2026-02-19,poc
Palestine,"Eleven killed in Israeli strikes on Gaza, rescuers say",bbc.com,https://www.bbc.com/news/articles/c8r15eyvk2do?at_medium=RSS&at_campaign=rss,2026-02-15,poc
Palestine,Israeli president ends a fraught Australia visit to comfort Jews as Gaza war protests follow,apnews.com,https://apnews.com/article/australia-israel-president-herzog-melbourne-antisemitism-8729580864d4479a6d0bf065a8d4d475,2026-02-12,poc
Palestine,Ireland agrees to play Israel in Nations League despite previously calling for ban over Gaza war,foxnews.com,https://www.foxnews.com/sports/ireland-agrees-play-israel-nations-league-despite-previously-calling-ban-over-gaza-war,2026-02-12,poc
Palestine,Australia seeks charges over a 2024 Israeli airstrike in Gaza that killed an Australian aid worker,apnews.com,https://apnews.com/article/australia-israel-herzog-visit-canberra-president-86413c4417f93de7925e75667fc0d18b,2026-02-11,poc
Palestine,Mothers in the U.S. use crowdfunding tactics to help families in war-torn Gaza,npr.org,https://www.npr.org/2026/02/10/nx-s1-5701336/mothers-in-the-u-s-use-crowdfunding-tactics-to-help-families-in-war-torn-gaza,2026-02-10,poc
Palestine,Israeli drone strike kills 2 cyclists in Gaza as death toll mounts despite ceasefire,apnews.com,https://apnews.com/article/gaza-hamas-israel-war-2-10-2026-08acadd177a13e971de88c56b12d456f,2026-02-10,poc
Palestine,Soccer returns to Gaza pitch scarred by war and loss,reuters.com,https://www.reuters.com/world/middle-east/soccer-returns-gaza-pitch-scarred-by-war-loss-2026-02-10/,2026-02-10,poc
Palestine,Photos show an Israeli strike blowing up a Gaza building in split-second detail,apnews.com,https://apnews.com/photo-gallery/israel-airstrike-gaza-building-photos-d0ae11a47d36b88e2556e07ad600dd64,2026-02-06,poc
Palestine,Organizers say a new civilian-led aid flotilla with over 100 boats will sail to Gaza in March,apnews.com,https://apnews.com/article/global-sumud-flotilla-gaza-aid-mission-ce775ded494f4d7378c09267db7dddde,2026-02-05,poc
Palestine,Father mourns daughters killed by Israeli strike in Gaza,nbcnews.com,https://www.nbcnews.com/video/shorts/father-mourns-daughters-killed-by-israeli-strike-in-gaza-257203269971,2026-02-05,poc
Palestine,IMF says Israeli economy to rebound from Gaza war with 4.8% growth in 2026,reuters.com,https://www.reuters.com/world/imf-says-israeli-economy-rebound-gaza-war-with-48-growth-2026-2026-02-05/,2026-02-05,poc
